input_param,cas_number,ParamDesc,input_unit,parameter_id,conversion,unit_solid,result_type,matrix_state,sample_fraction,sample_fraction_AC,result_value_type,result_speciation_id,result_speciation_AC,NEW_param_needed,NEW_speciation_needed,NEW_fraction_needed,NEW_protocol_needed,FLAG_AC_params_edit,FLAG_review,FLAG_notes_combined,ignore,result_offset,mapping_status
Si-T_S,"","Silicon, total in sediments.",mg/kg,1127,1,mg/kg,2,2,19,19,1,,,"","",,"",,TRUE,UNIT_REVIEW: EQWin unit 'mg/kg' vs AquaCache unit '',FALSE,0,mapped_existing_parameter
SmplMethd,"",Usually pertains to the metho used to sample a groundwater well,"",,1,"",3,,,,1,,,"","",,"",,FALSE,MISSING_PARAM_ID; SOURCE_FIELDS_RESTORED_FROM_EQWIN_CATALOG; IGNORED_NON_RESULT_EQWIN_HELPER_PARAMETER,TRUE,0,ignored
Sn-D,"","Tin, dissolved",mg/L,1140,1,"",2,1,5,5,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Sn-E,"","Tin, extractable",mg/L,1140,1,"",2,1,6,6,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
SNT,"",Sample Not Taken Identifier,m,,1,"",2,,,,1,,,"","",,"",,FALSE,"",TRUE,0,ignored
Sn-T,"","Tin, total",mg/L,1140,1,"",2,1,19,19,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Sn-T_S,"","Tin, Total in Sediment",mg/kg,1140,1,mg/kg,2,2,19,19,1,,,"","",,"",,TRUE,UNIT_REVIEW: EQWin unit 'mg/kg' vs AquaCache unit '',FALSE,0,mapped_existing_parameter
SO3-D,14265-45-3,"Sulphite, Dissolved",mg/L,1441,1,"",2,1,5,,1,,,sulfite,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
SO4,"",Sulphate,mg/L,1131,1,"",2,1,5,5,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
SO4_BCMOE_fAL_lt,"",SO4 BCMOE FW aquatic life- long term,mg/L,1131,1,"",2,1,,,3,,,"","",,"",,FALSE,"",TRUE,0,ignored
SoilMoist-L,"","Soil Moisture, lab",%,1256,1,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
